QUESTION_NAME,COLUMN_NAME,PreferNotToAnswerSelection,Reverse_Coded_DuringCollection,SUBSCALE_NAME,SUBSCALE_NAME_2,Your_Scale_Min,Your_Scale_Max,Correct Answer,,,Foraging Yale,,Foraging Pilot,,,Sample Data
BISBAS_23,BISBAS_23,5,0,reward,,1,5,,,,QID17_23,,QID30_23,,,BISBAS_23
BISBAS_24,BISBAS_24,5,0,bis,,1,5,,,,QID17_24,,QID30_24,,,BISBAS_24
STAI_1,STAI_1,5,0,trait_anxiety,,1,5,,,,QID15_1,,QID28_1,,,STAI_1
STAI_2,STAI_2,5,0,trait_anxiety,,1,5,,,,QID15_2,,QID28_2,,,STAI_2
STAI_3,STAI_3,5,0,trait_anxiety,,1,5,,,,QID15_3,,QID28_3,,,STAI_3
STAI_4,STAI_4,5,0,trait_anxiety,,1,5,,,,QID15_4,,QID28_4,,,STAI_4
STAI_5,STAI_5,5,0,trait_anxiety,,1,5,,,,QID15_5,,QID28_5,,,STAI_5
STAI_6,STAI_6,5,0,trait_anxiety,,1,5,,,,QID15_6,,QID28_6,,,STAI_6
STAI_7,STAI_7,5,0,trait_anxiety,,1,5,,,,QID15_7,,QID28_7,,,STAI_7
STAI_8,STAI_8,5,0,trait_anxiety,,1,5,,,,QID15_8,,QID28_8,,,STAI_8
STAI_9,STAI_9,5,0,trait_anxiety,,1,5,,,,QID15_9,,QID28_9,,,STAI_9
STAI_10,STAI_10,5,0,trait_anxiety,,1,5,,,,QID15_10,,QID28_10,,,STAI_10
STAI_11,STAI_11,5,0,trait_anxiety,,1,5,,,,QID15_11,,QID28_11,,,STAI_11
STAI_12,STAI_12,5,0,trait_anxiety,,1,5,,,,QID15_12,,QID28_12,,,STAI_12
STAI_13,STAI_13,5,0,trait_anxiety,,1,5,,,,QID15_13,,QID28_13,,,STAI_13
STAI_14,STAI_14,5,0,trait_anxiety,,1,5,,,,QID15_14,,QID28_14,,,STAI_14
STAI_15,STAI_15,5,0,trait_anxiety,,1,5,,,,QID15_15,,QID28_15,,,STAI_15
STAI_16,STAI_16,5,0,trait_anxiety,,1,5,,,,QID15_16,,QID28_16,,,STAI_16
STAI_17,STAI_17,5,0,trait_anxiety,,1,5,,,,QID15_17,,QID28_17,,,STAI_17
STAI_18,STAI_18,5,0,trait_anxiety,,1,5,,,,QID15_18,,QID28_18,,,STAI_18
STAI_19,STAI_19,5,0,trait_anxiety,,1,5,,,,QID15_19,,QID28_19,,,STAI_19
STAI_20,STAI_20,5,0,trait_anxiety,,1,5,,,,QID15_20,,QID28_20,,,STAI_20
STAI_21,STAI_21,5,0,state_anxiety,,1,5,,,,QID16_1,,QID29_1,,,STAI_21
STAI_22,STAI_22,5,0,state_anxiety,,1,5,,,,QID16_21,,QID29_21,,,STAI_22
STAI_23,STAI_23,5,0,state_anxiety,,1,5,,,,QID16_2,,QID29_2,,,STAI_23
STAI_24,STAI_24,5,0,state_anxiety,,1,5,,,,QID16_3,,QID29_3,,,STAI_24
STAI_25,STAI_25,5,0,state_anxiety,,1,5,,,,QID16_4,,QID29_4,,,STAI_25
STAI_26,STAI_26,5,0,state_anxiety,,1,5,,,,QID16_5,,QID29_5,,,STAI_26
STAI_27,STAI_27,5,0,state_anxiety,,1,5,,,,QID16_6,,QID29_6,,,STAI_27
STAI_28,STAI_28,5,0,state_anxiety,,1,5,,,,QID16_7,,QID29_7,,,STAI_28
STAI_29,STAI_29,5,0,state_anxiety,,1,5,,,,QID16_8,,QID29_8,,,STAI_29
STAI_30,STAI_30,5,0,state_anxiety,,1,5,,,,QID16_9,,QID29_9,,,STAI_30
STAI_31,STAI_31,5,0,state_anxiety,,1,5,,,,QID16_10,,QID29_10,,,STAI_31
STAI_32,STAI_32,5,0,state_anxiety,,1,5,,,,QID16_11,,QID29_11,,,STAI_32
STAI_33,STAI_33,5,0,state_anxiety,,1,5,,,,QID16_12,,QID29_12,,,STAI_33
STAI_34,STAI_34,5,0,state_anxiety,,1,5,,,,QID16_13,,QID29_13,,,STAI_34
STAI_35,STAI_35,5,0,state_anxiety,,1,5,,,,QID16_14,,QID29_14,,,STAI_35
STAI_36,STAI_36,5,0,state_anxiety,,1,5,,,,QID16_15,,QID29_15,,,STAI_36
STAI_37,STAI_37,5,0,state_anxiety,,1,5,,,,QID16_16,,QID29_16,,,STAI_37
STAI_38,STAI_38,5,0,state_anxiety,,1,5,,,,QID16_17,,QID29_17,,,STAI_38
STAI_39,STAI_39,5,0,state_anxiety,,1,5,,,,QID16_18,,QID29_18,,,STAI_39
STAI_40,STAI_40,5,0,state_anxiety,,1,5,,,,QID16_19,,QID29_19,,,STAI_40
barratt_1,barratt_1,5,0,self_control,nonplanning_impulsiveness,1,5,,,,QID69_1,,QID51_1,,,barratt_1
barratt_2,barratt_2,5,0,motivation,motor_impulsiveness,1,5,,,,QID69_2,,QID51_2,,,barratt_2
barratt_3,barratt_3,5,0,motivation,motor_impulsiveness,1,5,,,,QID69_3,,QID51_3,,,barratt_3
barratt_4,barratt_4,5,0,motivation,motor_impulsiveness,1,5,,,,QID69_4,,QID51_4,,,barratt_4
barratt_5,barratt_5,5,0,attention,attention_impulsiveness,1,5,,,,QID69_5,,QID51_5,,,barratt_5
barratt_6,barratt_6,5,0,instability,attention_impulsiveness,1,5,,,,QID69_6,,QID51_6,,,barratt_6
barratt_7,barratt_7,5,0,self_control,nonplanning_impulsiveness,1,5,,,,QID69_7,,QID51_7,,,barratt_7
barratt_8,barratt_8,5,0,self_control,nonplanning_impulsiveness,1,5,,,,QID69_8,,QID51_8,,,barratt_8
barratt_9,barratt_9,5,0,attention,attention_impulsiveness,1,5,,,,QID69_9,,QID51_9,,,barratt_9
barratt_10,barratt_10,5,0,complex,nonplanning_impulsiveness,1,5,,,,QID69_10,,QID51_10,,,barratt_10
barratt_11,barratt_11,5,0,attention,attention_impulsiveness,1,5,,,,QID69_11,,QID51_11,,,barratt_11
barratt_12,barratt_12,5,0,self_control,nonplanning_impulsiveness,1,5,,,,QID69_12,,QID51_12,,,barratt_12
barratt_13,barratt_13,5,0,self_control,nonplanning_impulsiveness,1,5,,,,QID69_13,,QID51_13,,,barratt_13
barratt_14,barratt_14,5,0,self_control,nonplanning_impulsiveness,1,5,,,,QID69_14,,QID51_14,,,barratt_14
barratt_15,barratt_15,5,0,complex,nonplanning_impulsiveness,1,5,,,,QID69_15,,QID51_15,,,barratt_15
barratt_16,barratt_16,5,0,persevere,motor_impulsiveness,1,5,,,,QID69_16,,QID51_16,,,barratt_16
barratt_17,barratt_17,5,0,motivation,motor_impulsiveness,1,5,,,,QID69_17,,QID51_17,,,barratt_17
barratt_18,barratt_18,5,0,complex,nonplanning_impulsiveness,1,5,,,,QID69_18,,QID51_18,,,barratt_18
barratt_19,barratt_19,5,0,motivation,motor_impulsiveness,1,5,,,,QID69_19,,QID51_19,,,barratt_19
barratt_20,barratt_20,5,0,attention,attention_impulsiveness,1,5,,,,QID69_20,,QID51_20,,,barratt_20
barratt_21,barratt_21,5,0,persevere,motor_impulsiveness,1,5,,,,QID69_21,,QID51_21,,,barratt_21
barratt_22,barratt_22,5,0,motivation,motor_impulsiveness,1,5,,,,QID69_22,,QID51_22,,,barratt_22
barratt_23,barratt_23,5,0,persevere,motor_impulsiveness,1,5,,,,QID69_23,,QID51_23,,,barratt_23
barratt_24,barratt_24,5,0,instability,attention_impulsiveness,1,5,,,,QID69_24,,QID51_24,,,barratt_24
barratt_25,barratt_25,5,0,motivation,motor_impulsiveness,1,5,,,,QID69_25,,QID51_25,,,barratt_25
barratt_26,barratt_26,5,0,instability,attention_impulsiveness,1,5,,,,QID69_26,,QID51_26,,,barratt_26
barratt_27,barratt_27,5,0,complex,nonplanning_impulsiveness,1,5,,,,QID69_27,,QID51_27,,,barratt_27
barratt_28,barratt_28,5,0,attention,attention_impulsiveness,1,5,,,,QID69_28,,QID51_28,,,barratt_28
barratt_29,barratt_29,5,0,complex,nonplanning_impulsiveness,1,5,,,,QID69_29,,QID51_29,,,barratt_29
barratt_30,barratt_30,5,0,persevere,motor_impulsiveness,1,5,,,,QID69_30,,QID51_30,,,barratt_30
bapq_1,bapq_1,7,0,aloof,,1,7,,,,,,,,,bapq_1
bapq_2,bapq_2,7,0,prag language,,1,7,,,,,,,,,bapq_2
bapq_3,bapq_3,7,0,rigid,,1,7,,,,,,,,,bapq_3
bapq_4,bapq_4,7,0,prag language,,1,7,,,,,,,,,bapq_4
bapq_5,bapq_5,7,0,aloof,,1,7,,,,,,,,,bapq_5
bapq_6,bapq_6,7,0,rigid,,1,7,,,,,,,,,bapq_6
bapq_7,bapq_7,7,0,prag language,,1,7,,,,,,,,,bapq_7
bapq_8,bapq_8,7,0,rigid,,1,7,,,,,,,,,bapq_8
bapq_9,bapq_9,7,0,aloof,,1,7,,,,,,,,,bapq_9
bapq_10,bapq_10,7,0,prag language,,1,7,,,,,,,,,bapq_10
bapq_11,bapq_11,7,0,prag language,,1,7,,,,,,,,,bapq_11
bapq_12,bapq_12,7,0,aloof,,1,7,,,,,,,,,bapq_12
bapq_13,bapq_13,7,0,rigid,,1,7,,,,,,,,,bapq_13
bapq_14,bapq_14,7,0,prag language,,1,7,,,,,,,,,bapq_14
bapq_15,bapq_15,7,0,rigid,,1,7,,,,,,,,,bapq_15
bapq_16,bapq_16,7,0,aloof,,1,7,,,,,,,,,bapq_16
bapq_17,bapq_17,7,0,prag language,,1,7,,,,,,,,,bapq_17
bapq_18,bapq_18,7,0,aloof,,1,7,,,,,,,,,bapq_18
bapq_19,bapq_19,7,0,rigid,,1,7,,,,,,,,,bapq_19
bapq_20,bapq_20,7,0,prag language,,1,7,,,,,,,,,bapq_20
bapq_21,bapq_21,7,0,prag language,,1,7,,,,,,,,,bapq_21
bapq_22,bapq_22,7,0,rigid,,1,7,,,,,,,,,bapq_22
bapq_23,bapq_23,7,0,aloof,,1,7,,,,,,,,,bapq_23
bapq_24,bapq_24,7,0,rigid,,1,7,,,,,,,,,bapq_24
bapq_25,bapq_25,7,0,aloof,,1,7,,,,,,,,,bapq_25
bapq_26,bapq_26,7,0,rigid,,1,7,,,,,,,,,bapq_26
bapq_27,bapq_27,7,0,aloof,,1,7,,,,,,,,,bapq_27
bapq_28,bapq_28,7,0,aloof,,1,7,,,,,,,,,bapq_28
bapq_29,bapq_29,7,0,prag language,,1,7,,,,,,,,,bapq_29
bapq_30,bapq_30,7,0,rigid,,1,7,,,,,,,,,bapq_30
bapq_31,bapq_31,7,0,aloof,,1,7,,,,,,,,,bapq_31
bapq_32,bapq_32,7,0,prag language,,1,7,,,,,,,,,bapq_32
bapq_33,bapq_33,7,0,rigid,,1,7,,,,,,,,,bapq_33
bapq_34,bapq_34,7,0,prag language,,1,7,,,,,,,,,bapq_34
bapq_35,bapq_35,7,0,rigid,,1,7,,,,,,,,,bapq_35
bapq_36,bapq_36,7,0,aloof,,1,7,,,,,,,,,bapq_36
neo_1,NEO_1,6,0,neuroticism,,1,6,,,,QID19_1,,QID32_1,,,NEO_1
neo_2,NEO_2,6,0,extroversion,,1,6,,,,QID19_2,,QID32_2,,,NEO_2
neo_3,NEO_3,6,0,opennesss,,1,6,,,,QID19_3,,QID32_3,,,NEO_3
neo_4,NEO_4,6,0,agreeableness,,1,6,,,,QID19_4,,QID32_4,,,NEO_4
neo_5,NEO_5,6,0,conscientiousness,,1,6,,,,QID19_5,,QID32_5,,,NEO_5
neo_6,NEO_6,6,0,neuroticism,,1,6,,,,QID19_6,,QID32_6,,,NEO_6
neo_7,NEO_7,6,0,extroversion,,1,6,,,,QID19_7,,QID32_7,,,NEO_7
neo_8,NEO_8,6,0,opennesss,,1,6,,,,QID19_8,,QID32_8,,,NEO_8
neo_9,NEO_9,6,0,agreeableness,,1,6,,,,QID19_9,,QID32_9,,,NEO_9
neo_10,NEO_10,6,0,conscientiousness,,1,6,,,,QID19_10,,QID32_10,,,NEO_10
neo_11,NEO_11,6,0,neuroticism,,1,6,,,,QID19_11,,QID32_11,,,NEO_11
neo_12,NEO_12,6,0,extroversion,,1,6,,,,QID19_12,,QID32_12,,,NEO_12
neo_13,NEO_13,6,0,opennesss,,1,6,,,,QID19_13,,QID32_13,,,NEO_13
neo_14,NEO_14,6,0,agreeableness,,1,6,,,,QID19_14,,QID32_14,,,NEO_14
neo_15,NEO_15,6,0,conscientiousness,,1,6,,,,QID19_15,,QID32_15,,,NEO_15
neo_16,NEO_16,6,0,neuroticism,,1,6,,,,QID19_16,,QID32_16,,,NEO_16
neo_17,NEO_17,6,0,extroversion,,1,6,,,,QID19_17,,QID32_17,,,NEO_17
neo_18,NEO_18,6,0,opennesss,,1,6,,,,QID19_18,,QID32_18,,,NEO_18
neo_19,NEO_19,6,0,agreeableness,,1,6,,,,QID19_19,,QID32_19,,,NEO_19
neo_20,NEO_20,6,0,conscientiousness,,1,6,,,,QID19_20,,QID32_20,,,NEO_20
neo_21,NEO_21,6,0,neuroticism,,1,6,,,,QID19_21,,QID32_21,,,NEO_21
neo_22,NEO_22,6,0,extroversion,,1,6,,,,QID19_22,,QID32_22,,,NEO_22
neo_23,NEO_23,6,0,opennesss,,1,6,,,,QID19_23,,QID32_23,,,NEO_23
neo_24,NEO_24,6,0,agreeableness,,1,6,,,,QID19_24,,QID32_24,,,NEO_24
neo_25,NEO_25,6,0,conscientiousness,,1,6,,,,QID19_25,,QID32_25,,,NEO_25
neo_26,NEO_26,6,0,neuroticism,,1,6,,,,QID19_26,,QID32_26,,,NEO_26
neo_27,NEO_27,6,0,extroversion,,1,6,,,,QID19_27,,QID32_27,,,NEO_27
neo_28,NEO_28,6,0,opennesss,,1,6,,,,QID19_28,,QID32_28,,,NEO_28
neo_29,NEO_29,6,0,agreeableness,,1,6,,,,QID19_29,,QID32_29,,,NEO_29
neo_30,NEO_30,6,0,conscientiousness,,1,6,,,,QID19_30,,QID32_30,,,NEO_30
neo_31,NEO_31,6,0,neuroticism,,1,6,,,,QID19_31,,QID32_31,,,NEO_31
neo_32,NEO_32,6,0,extroversion,,1,6,,,,QID19_32,,QID32_32,,,NEO_32
neo_33,NEO_33,6,0,opennesss,,1,6,,,,QID19_33,,QID32_33,,,NEO_33
neo_34,NEO_34,6,0,agreeableness,,1,6,,,,QID19_34,,QID32_34,,,NEO_34
neo_35,NEO_35,6,0,conscientiousness,,1,6,,,,QID19_35,,QID32_35,,,NEO_35
neo_36,NEO_36,6,0,neuroticism,,1,6,,,,QID19_36,,QID32_36,,,NEO_36
neo_37,NEO_37,6,0,extroversion,,1,6,,,,QID19_37,,QID32_37,,,NEO_37
neo_38,NEO_38,6,0,opennesss,,1,6,,,,QID19_38,,QID32_38,,,NEO_38
neo_39,NEO_39,6,0,agreeableness,,1,6,,,,QID19_39,,QID32_39,,,NEO_39
neo_40,NEO_40,6,0,conscientiousness,,1,6,,,,QID19_40,,QID32_40,,,NEO_40
neo_41,NEO_41,6,0,neuroticism,,1,6,,,,QID19_41,,QID32_41,,,NEO_41
neo_42,NEO_42,6,0,extroversion,,1,6,,,,QID19_42,,QID32_42,,,NEO_42
neo_43,NEO_43,6,0,opennesss,,1,6,,,,QID19_43,,QID32_43,,,NEO_43
neo_44,NEO_44,6,0,agreeableness,,1,6,,,,QID19_44,,QID32_44,,,NEO_44
neo_45,NEO_45,6,0,conscientiousness,,1,6,,,,QID19_45,,QID32_45,,,NEO_45
neo_46,NEO_46,6,0,neuroticism,,1,6,,,,QID19_46,,QID32_46,,,NEO_46
neo_47,NEO_47,6,0,extroversion,,1,6,,,,QID19_47,,QID32_47,,,NEO_47
neo_48,NEO_48,6,0,opennesss,,1,6,,,,QID19_48,,QID32_48,,,NEO_48
neo_49,NEO_49,6,0,agreeableness,,1,6,,,,QID19_49,,QID32_49,,,NEO_49
neo_50,NEO_50,6,0,conscientiousness,,1,6,,,,QID19_50,,QID32_50,,,NEO_50
neo_51,NEO_51,6,0,neuroticism,,1,6,,,,QID19_51,,QID32_51,,,NEO_51
neo_52,NEO_52,6,0,extroversion,,1,6,,,,QID19_52,,QID32_52,,,NEO_52
neo_53,NEO_53,6,0,opennesss,,1,6,,,,QID19_53,,QID32_53,,,NEO_53
neo_54,NEO_54,6,0,agreeableness,,1,6,,,,QID19_54,,QID32_54,,,NEO_54
neo_55,NEO_55,6,0,conscientiousness,,1,6,,,,QID19_55,,QID32_55,,,NEO_55
neo_56,NEO_56,6,0,neuroticism,,1,6,,,,QID19_56,,QID32_56,,,NEO_56
neo_57,NEO_57,6,0,extroversion,,1,6,,,,QID19_57,,QID32_57,,,NEO_57
neo_58,NEO_58,6,0,opennesss,,1,6,,,,QID19_58,,QID32_58,,,NEO_58
neo_59,NEO_59,6,0,agreeableness,,1,6,,,,QID19_59,,QID32_59,,,NEO_59
neo_60,NEO_60,6,0,conscientiousness,,1,6,,,,QID19_60,,QID32_60,,,NEO_60
dospert_1,dospert_1,8,0,risk-taking,,1,8,,,,,,,,,dospert_1
dospert_2,dospert_2,8,0,risk-taking,,1,8,,,,,,,,,dospert_2
dospert_3,dospert_3,8,0,risk-taking,,1,8,,,,,,,,,dospert_3
dospert_4,dospert_4,8,0,risk-taking,,1,8,,,,,,,,,dospert_4
dospert_5,dospert_5,8,0,risk-taking,,1,8,,,,,,,,,dospert_5
dospert_6,dospert_6,8,0,risk-taking,,1,8,,,,,,,,,dospert_6
dospert_7,dospert_7,8,0,risk-taking,,1,8,,,,,,,,,dospert_7
dospert_8,dospert_8,8,0,risk-taking,,1,8,,,,,,,,,dospert_8
dospert_9,dospert_9,8,0,risk-taking,,1,8,,,,,,,,,dospert_9
dospert_10,dospert_10,8,0,risk-taking,,1,8,,,,,,,,,dospert_10
dospert_11,dospert_11,8,0,risk-taking,,1,8,,,,,,,,,dospert_11
dospert_12,dospert_12,8,0,risk-taking,,1,8,,,,,,,,,dospert_12
dospert_13,dospert_13,8,0,risk-taking,,1,8,,,,,,,,,dospert_13
dospert_14,dospert_14,8,0,risk-taking,,1,8,,,,,,,,,dospert_14
dospert_15,dospert_15,8,0,risk-taking,,1,8,,,,,,,,,dospert_15
dospert_16,dospert_16,8,0,risk-taking,,1,8,,,,,,,,,dospert_16
dospert_17,dospert_17,8,0,risk-taking,,1,8,,,,,,,,,dospert_17
dospert_18,dospert_18,8,0,risk-taking,,1,8,,,,,,,,,dospert_18
dospert_19,dospert_19,8,0,risk-taking,,1,8,,,,,,,,,dospert_19
dospert_20,dospert_20,8,0,risk-taking,,1,8,,,,,,,,,dospert_20
dospert_21,dospert_21,8,0,risk-taking,,1,8,,,,,,,,,dospert_21
dospert_22,dospert_22,8,0,risk-taking,,1,8,,,,,,,,,dospert_22
dospert_23,dospert_23,8,0,risk-taking,,1,8,,,,,,,,,dospert_23
dospert_24,dospert_24,8,0,risk-taking,,1,8,,,,,,,,,dospert_24
dospert_25,dospert_25,8,0,risk-taking,,1,8,,,,,,,,,dospert_25
dospert_26,dospert_26,8,0,risk-taking,,1,8,,,,,,,,,dospert_26
dospert_27,dospert_27,8,0,risk-taking,,1,8,,,,,,,,,dospert_27
dospert_28,dospert_28,8,0,risk-taking,,1,8,,,,,,,,,dospert_28
dospert_29,dospert_29,8,0,risk-taking,,1,8,,,,,,,,,dospert_29
dospert_30,dospert_30,8,0,risk-taking,,1,8,,,,,,,,,dospert_30
dospert_31,dospert_31,8,0,risk-taking,,1,8,,,,,,,,,dospert_31
dospert_32,dospert_32,8,0,risk-taking,,1,8,,,,,,,,,dospert_32
dospert_33,dospert_33,8,0,risk-taking,,1,8,,,,,,,,,dospert_33
dospert_34,dospert_34,8,0,risk-taking,,1,8,,,,,,,,,dospert_34
dospert_35,dospert_35,8,0,risk-taking,,1,8,,,,,,,,,dospert_35
dospert_36,dospert_36,8,0,risk-taking,,1,8,,,,,,,,,dospert_36
dospert_37,dospert_37,8,0,risk-taking,,1,8,,,,,,,,,dospert_37
dospert_38,dospert_38,8,0,risk-taking,,1,8,,,,,,,,,dospert_38
dospert_39,dospert_39,8,0,risk-taking,,1,8,,,,,,,,,dospert_39
dospert_40,dospert_40,8,0,risk-taking,,1,8,,,,,,,,,dospert_40
dospert_41,dospert_41,8,0,risk-perception,,1,8,,,,,,,,,dospert_41
dospert_42,dospert_42,8,0,risk-perception,,1,8,,,,,,,,,dospert_42
dospert_43,dospert_43,8,0,risk-perception,,1,8,,,,,,,,,dospert_43
dospert_44,dospert_44,8,0,risk-perception,,1,8,,,,,,,,,dospert_44
dospert_45,dospert_45,8,0,risk-perception,,1,8,,,,,,,,,dospert_45
dospert_46,dospert_46,8,0,risk-perception,,1,8,,,,,,,,,dospert_46
dospert_47,dospert_47,8,0,risk-perception,,1,8,,,,,,,,,dospert_47
dospert_48,dospert_48,8,0,risk-perception,,1,8,,,,,,,,,dospert_48
dospert_49,dospert_49,8,0,risk-perception,,1,8,,,,,,,,,dospert_49
dospert_50,dospert_50,8,0,risk-perception,,1,8,,,,,,,,,dospert_50
dospert_51,dospert_51,8,0,risk-perception,,1,8,,,,,,,,,dospert_51
dospert_52,dospert_52,8,0,risk-perception,,1,8,,,,,,,,,dospert_52
dospert_53,dospert_53,8,0,risk-perception,,1,8,,,,,,,,,dospert_53
dospert_54,dospert_54,8,0,risk-perception,,1,8,,,,,,,,,dospert_54
dospert_55,dospert_55,8,0,risk-perception,,1,8,,,,,,,,,dospert_55
dospert_56,dospert_56,8,0,risk-perception,,1,8,,,,,,,,,dospert_56
dospert_57,dospert_57,8,0,risk-perception,,1,8,,,,,,,,,dospert_57
dospert_58,dospert_58,8,0,risk-perception,,1,8,,,,,,,,,dospert_58
dospert_59,dospert_59,8,0,risk-perception,,1,8,,,,,,,,,dospert_59
dospert_60,dospert_60,8,0,risk-perception,,1,8,,,,,,,,,dospert_60
dospert_61,dospert_61,8,0,risk-perception,,1,8,,,,,,,,,dospert_61
dospert_62,dospert_62,8,0,risk-perception,,1,8,,,,,,,,,dospert_62
dospert_63,dospert_63,8,0,risk-perception,,1,8,,,,,,,,,dospert_63
dospert_64,dospert_64,8,0,risk-perception,,1,8,,,,,,,,,dospert_64
dospert_65,dospert_65,8,0,risk-perception,,1,8,,,,,,,,,dospert_65
dospert_66,dospert_66,8,0,risk-perception,,1,8,,,,,,,,,dospert_66
dospert_67,dospert_67,8,0,risk-perception,,1,8,,,,,,,,,dospert_67
dospert_68,dospert_68,8,0,risk-perception,,1,8,,,,,,,,,dospert_68
dospert_69,dospert_69,8,0,risk-perception,,1,8,,,,,,,,,dospert_69
dospert_70,dospert_70,8,0,risk-perception,,1,8,,,,,,,,,dospert_70
dospert_71,dospert_71,8,0,risk-perception,,1,8,,,,,,,,,dospert_71
dospert_72,dospert_72,8,0,risk-perception,,1,8,,,,,,,,,dospert_72
dospert_73,dospert_73,8,0,risk-perception,,1,8,,,,,,,,,dospert_73
dospert_74,dospert_74,8,0,risk-perception,,1,8,,,,,,,,,dospert_74
dospert_75,dospert_75,8,0,risk-perception,,1,8,,,,,,,,,dospert_75
dospert_76,dospert_76,8,0,risk-perception,,1,8,,,,,,,,,dospert_76
dospert_77,dospert_77,8,0,risk-perception,,1,8,,,,,,,,,dospert_77
dospert_78,dospert_78,8,0,risk-perception,,1,8,,,,,,,,,dospert_78
dospert_79,dospert_79,8,0,risk-perception,,1,8,,,,,,,,,dospert_79
dospert_80,dospert_80,8,0,risk-perception,,1,8,,,,,,,,,dospert_80
poms_1,poms_1,6,0,tension/anxiety,,1,6,,,,,,,,,poms_1
poms_2,poms_2,6,0,anger/hostility,,1,6,,,,,,,,,poms_2
poms_3,poms_3,6,0,fatigue/inertia,,1,6,,,,,,,,,poms_3
poms_4,poms_4,6,0,vigor/activity,,1,6,,,,,,,,,poms_4
poms_5,poms_5,6,0,confusion/bewilderment,,1,6,,,,,,,,,poms_5
poms_6,poms_6,6,0,tension/anxiety,,1,6,,,,,,,,,poms_6
poms_7,poms_7,6,0,depression/dejection,,1,6,,,,,,,,,poms_7
poms_8,poms_8,6,0,vigor/activity,,1,6,,,,,,,,,poms_8
poms_9,poms_9,6,0,anger/hostility,,1,6,,,,,,,,,poms_9
poms_10,poms_10,6,0,vigor/activity,,1,6,,,,,,,,,poms_10
poms_11,poms_11,6,0,depression/dejection,,1,6,,,,,,,,,poms_11
poms_12,poms_12,6,0,tension/anxiety,,1,6,,,,,,,,,poms_12
poms_13,poms_13,6,0,fatigue/inertia,,1,6,,,,,,,,,poms_13
poms_14,poms_14,6,0,anger/hostility,,1,6,,,,,,,,,poms_14
poms_15,poms_15,6,0,depression/dejection,,1,6,,,,,,,,,poms_15
poms_16,poms_16,6,0,tension/anxiety,,1,6,,,,,,,,,poms_16
poms_17,poms_17,6,0,depression/dejection,,1,6,,,,,,,,,poms_17
poms_18,poms_18,6,0,confusion/bewilderment,,1,6,,,,,,,,,poms_18
poms_19,poms_19,6,0,fatigue/inertia,,1,6,,,,,,,,,poms_19
poms_20,poms_20,6,0,tension/anxiety,,1,6,,,,,,,,,poms_20
poms_21,poms_21,6,0,depression/dejection,,1,6,,,,,,,,,poms_21
poms_22,poms_22,6,0,fatigue/inertia,,1,6,,,,,,,,,poms_22
